ID,Month_ago,Score,Reviews
72613,12,5,"Just called and talked to Victoria. She seems really nice and was able to answer all of my questions. We haven’t moved in yet but if you’re looking for good customer service, this place is great so far."
72613,12,5,I'm that sketchy guy walking around and checking your car
72613,12,1,"Dirty property, loud neighbors, terrible parking garage, overpriced for what you get, and host of other grievances. I would NOT recommend."
72613,12,1,"I dont recommend living here. If you like loud neighbors, poor maintenance, VERY out dated, crapy parking, and drug dealings in the parking lot, then this place is for you. Yes, drug dealers are always on the top floor of the parking garage. Very sketchy people walk around the cars. No gates so its easy for them to get in. VERY poor maintenance who dont even clean the hallways so you have dog poop everywhere. People are VERY loud and ding dong ditch. I have a baby and it pisses me off when they wake her up. I cant wait until our lease is up so we can get out of here. Worst place I've ever lived. DON'T live here."
72613,12,5,Jeff was great XD
72613,12,4,"Wonderful staff, maintenance has always been reliable and the price is competitive. We have lived at this location since 2009. Cons: You can hear the train running throughout the day/night. I have witnessed people not being careful and hitting the beams they parked next to."
72613,12,5,"The staff are very nice, Jeff and Derek both.  I live here for a while now and never had any problems."
72365,7,5,NIL
72365,9,4,"So it's not bad, but there are cons. There are cockroaches."
72365,10,5,NIL
72365,12,1,NIL
72365,12,5,"I love this place they will help you on the rent if you ask them I had no problem.
You should try it out"
72365,12,1,NIL
72365,12,3,NIL
72365,12,4,NIL
72365,12,3,NIL
72365,12,3,old and run down
72365,12,1,NIL
72365,12,5,They are awesome love them
71939,0.5,5,Apartments are good for its price. Good management and lease office workers
71939,0.5,5,"The place looks amazing and the staff is friendly. The closets are giant and,get this, you can paint the walls what ever color you want! I asked why and I was answered with ""we want you to feel at home"" now that's what I'm talking about. I haven't moved in yet and I already feel at home. The people that lived there from what I seen was very plesent. Thank you Sophia for being an awsom host and can't wait to move in to a place I can call home."
71939,0.5,1,"Current resident and definitely not renewing. Maintenance is horrible and so is the plumbing. We’ve had disgusting plumbing issues for months now and nothing has been done about it. You can find much better apartments for cheaper. The people in the office are nice enough, but don’t let it fool you."
71939,1,5,"Everyone should rent at Belmont Apartments through Jillian!  Not only is this a nice apartment but, I have never rented though a better company through Jillian.  She is very knowledgeable in leasing the apartments and handles it with the most reliable and nicest way.  She is one of the nicest people I've met.  Which is also very helpful when having to work with an apartment and it's rules and regulations.  As far as the parking spaces, when we first rented here the apartments had no rule with the parking situation.  It was being taken advantage of and people were parking here whether they lived here or not.  Then they implemented the rule of if you didn't have a sticker you would be towed and that is a great expense.  Getting a sticker was a very easy thing to do and there really should not be any reason to have any problems.We were notified multiple times before the towing even began.  We got one immediately and even my children who have visited either park on the side of the road or get a temporary sticker.  Should be no reason to get towed if you followed the rules they placed, and if it happens I know that Jillian would handle it with the utmost professionalism!  Thanks for reading this and believe me this is the place to be!!  I've enjoyed it very much!!"
71939,3,2,NIL
71939,3,1,"Do NOT rent from Belmont Apartments. They are not learned in customer service practices and the new manager, Jillian, is very unprofessional and rude. Our new car we purchased was towed because we could not get a parking sticker before the office closed. When confronted about the situation, the office did not seem to care at all. This will cost us an additional $300. This is one reason of many we will not be renewing with Belmont Place. I would recommend other apartments within the area."
71939,5,5,Love this place!!!
71939,5,4,Lived here for a couple years now and I really like the place. I'd like to elaborate but in general the place is just homey and pleasant.
71939,5,4,"Have lived here for the past year (2 bdrm./1bath unit) and have been pleased with everything.  The Management staff is good to work with, the complex is lovely with so many trees, landscaping well maintained, maintenance requests few and taken care of promptly, have not seen one bug in our apt., large pets welcome, it is very quiet, VERY convenient to EVERYTHING.  We are moving to a senior retirement community in November or we would have renewed our lease.  I would recommend this property to anyone."
71939,11,5,i havent even moved in and I already love the atmosphere !!!!
71939,12,5,"I had a great stay in my apartment, loved the vaulted ceilings, balcony and fireplace. Conveniently located and Property Management and staff are great!!!!"
71939,12,5,"Very nice facilities. The team is very cooperative, and nice. Beautiful views around this area. We enjoyed at this place very much, and we will it be missing it when we move to our house. :)"
72884,3,5,"Properties are amazing there beautiful !!!
Employees are great they make you feel super welcome and are always willing to assist.
There always having nice things for you and your family to do like pumpkin painting , Thanksgiving lunching  and much more my experience as been so far One of a kind  I will  definitely recommended !"
72884,3,5,"Love the apartment was referred by my son that lives in Madison at  Dell Ranch Ive owned and managed retail stores all my life salespeople are the key Loren Perkins  is probably one of the best leasing agents I've ran into in a long time great on follow up and she is the main reason i moved there. Pinnacle you truly have a super star in Loren, thanks exceeding my expectations.
Thanks
Paul Vyvjala"
72884,5,5,"I lived at this apartment complex for just over 6 months and I can say its been the best experience with any complex by far. From the application process, maintenance requests, or lost keys, the staff have been extremely helpful. The towing agreement for this complex is on point and awesome when it comes to parking. Most complexes have very congested parking and lax rules on towing. I love the fact I can park close to my place at any point of the day. The staff at Regency Dell Ranch are the most top notch and professional individuals I've ever had to lease with. Lori made the application process smooth and easy. Loren has helped me many times and has always been super professional and patient. I definitely give both Lori and Loren 5 stars and can say that they have made my experience at this complex enjoyable and easy, which is really hard to find in today's market. I look forward to extending my residence at Regency in the future to come. Cheers!"
72884,7,5,I love Regency Dell Ranch Apartments I've been living here for 2 years without incident in every time I have a concern no matter what it is the manager Lauren is always willing to help me she is amazing great people skills and they give awesome parties once a year for the tenants it doesn't get much better
72884,7,2,NIL
72884,8,4,"I will update my review, I appreciate the fact that the maintenance and the property manager of this apartment took the time to meet me at my apartment so we could specifically go over some of the issues we've had and get a course of action in place. It's important to my fiance and I that we be in the know about these things, as we can make sure the issues are being resolved. What had us frustrated the most, is that someone from the front office would confirm with us and let us know that we'd be informed every step of the way, and we just weren't. We would have had to call and personally go into the office multiple times until the issues were even addressed. As renters, that's one thing we did not appreciate, this is our place of living and the home we chose for ourselves, so for us to be brushed off on many occasions, is what had us upset. Communication was severely lacking and not something we appreciated. Like I stated earlier, we appreciate Joel showing up and getting us on a course to get things resolved for us. We love this complex and property, it is a quiet place, has great amenities, and we absolutely love our specific floor plan as it is spacious and very open and exactly what we had been looking for when searching for an apartment."
72884,8,5,NIL
72884,12,5,I absolutely love this place.. They will totally help u and make it affordable for you to have a nice and safe environment for your family...  Please ask for Loren Weinard she is efficient and SUPER NICE..
72884,12,5,"FRESHLY  RENOVATED, WOOD BURNING- FIREPLACE AND THE STAFF IS SUPER NICE! I LOVE LIVING HERE."
72884,12,5,"Great community with great staff...Especially Loren! 

Been here almost 3 years and have always been taken care of. Anytime something breaks it is fixed quickly and the property is kept up well. The location is prime with 45 tollway / I-35 right here and all the stores you need. Check it out!"
72884,12,5,The current staff they have is the best I've ever experienced. Daniel and Loren are fantastic! The gym/pool areas are kept very clean. Maintenance is quick. Only real complaint is valet trash. I shouldn't have to pay if I don't use the service.
72884,12,5,"Just moved here in December and I recommend seeing Daniel! He took care of me the moment the apartment took us here to, even now.  Very responsive maintenance team, love the valet trash.  This place has the amenities as my old complex, just better location, affordable for the huge size, and it's gated.  They renovated their main office and I saw the new gym equipment being delivered, yet sadly I haven't had time to check out the area due to my schedule.  I love it here, I feel safe for my son and I and they are pretty friendly. I plan on staying here a while. Great experience so far!"
72884,12,5,I've lived here for over 3 1/2 yrs and recently had a great experience with Daniel from the office. He made it easy to renew my previous lease  & upgrade to a larger apt.
72884,12,5,NIL
72884,12,1,NIL
72884,12,5,"Good apartment community, nice location, accessible to most of shopping shops"
72884,12,5, super cute and very good quality everything.
72884,12,2,"Easily worst apartments I have been in. Lived for nearly two years management seemed to change twice. Every time there would be a new staff member in the office unable to get consistent answers//help. With the newest batch easily being the rudest even for simple things as getting a freaking package.

Gate constantly breaking down and when coming home late no assistance to get it open unless someone happens to leave. The bugs in the apartment even with ""routine"" pest management (that we have to pay for) noisy as hell neighbors who at their worst smashed a window and had the cops called at 3 am. Drunks pounding on our door at 1am. Glad to finally of left and will never be able to recommend to any friends or family. There really was too much to complain about over the two years we were there just avoid.

Only earned an extra star because most of the maintenance crew are good guys who do good work."
72884,12,4,"6/2/17 Update: The manager reached out to me personally and listened to my concerns. Was apologetic and sincere. I really appreciate him taking the time to listen. Therefore will change to 4 stars. I have no other complaints or issues here. Very happy here. Probably will no renew but only because rent is a little too pricey for 1 bedroom and job location.

6/1/17 I have been here for approx 6 months and never had a problem with office staff. Now there is all new staff and what a change. They are RUDE -poor customer service. Not renewing lease. I am not going to pay to be rudeness."
72884,12,3,very happy with our problems getting solved professionally. good management.
72884,12,1,"i should've listened to the reviews here, but decided to go give the apartments a shot. BIG MISTAKE. i went online and picked an apartment from the floor plans they show online. filled out application, paid all fees, and thought i was all ready to go, but i was sooo wrong. the pictures of floor plans don't match the description online so i got a call saying they had no apartments like the one i picked online available because apparently i picked the wrong description (like i would know) so i asked to speak to a manager to find a resolution and was transferred to JASON, who is the most rude, condescending, offensive and unprofessional man i've ever encountered in a business. first of, he is not the manager like he claimed he was, but the assistant manager. he refused to give me the number for corporate or let me speak to anyone about my issue. i'm in the process of getting a hold of regional manager about the issue but of course i have to play detective because nobody will give me any numbers. the place is not bad looking, it's noisey because of the toll road but jason totally ruins it. there is no way i would ever be able to overlook his attitude over the ""nice"" community. thinking of having to deal with him while i reside there makes my body cringe so i canceled my application and asked for a refund (he hasn't called me till this day to let me know how or when i'll get my refund) luckily the ladies who work there were very professional and helpful trying to find a resolution and i'm thankful for that. so to anyone looking for a place to live make sure to read reviews before as apparently i'm not the first person who complains about jason. i would advice the first thing you do if you really want to look at the place is meet jason. you'll be walking out within 5 seconds. stay away from that place."
72884,12,2,"How about numbering and illuminating every building instead of a random set of buildings. Sincerely, every delivery driver ever"
71038,0.5,5,"Just got done with a year here. The staff is absolutely awesome and super friendly, make everything simple and are always smiling. Highly recommend."
71038,0.5,5,Couldn't be happier
71038,0.5,5,NIL
71038,0.5,5,NIL
71038,1,1,"Didn't feel comfortable with people around there , remind me of the waters , ghettofied…"
71038,1,4,"One of the best complexes I have lived in, only issue is parking."
71038,1,2,NIL
71038,2,3,NIL
71038,3,4,NIL
71038,4,5,Nice
71038,4,5,"Great, quiet place to live with top notch maintenance people & office staff!"
71038,5,5,Awesome apartments nice space safe environment but management takes the cake Amber Hardin is amazing goes above and beyond to take care of residents...Great job and thank you for all you do..If your looking for a new home you found it I love living here....
71038,6,3,They alright
71038,6,5,"I was living at Arrington apts in Roundrock, TX that are suppose to be luxury apartments and they were the worst apartments I've ever lived in.  Chandler Creek may not have most updated appliances and luxury other apartments have but the community is very safe and quite. Also I can't hear my neighbors next to me and under me as I did at Arrington Apts. Staff so far has been great."
71038,7,3,NIL
71038,7,4,NIL
71038,8,5,NIL
71038,8,5,We are considering moving here and so far we love it! Especially Amber! She has been a great help and is very professional and courteous!
71038,8,5,"Great tour with Amber, she was very friendly and helpful. The complex is very nice and the grounds are well maintained. Great convenient location and nice community."
71038,8,5,Very nice and quiet apartments. Affordable pricing and great location. Not far from 35. Great staff. Amber was vary helpful and always available to answer any questions/concerns during the process of finding an apartment. Thank you!
71038,8,5,"I came in for a tour of the complex and was very impressed with the community. Ms. Hardin showed me around and was very friendly and informative. Enjoyed the tour and the great customer service, the grounds were very nice and well kept, the apartment layout was awesome."
71038,9,5,NIL
71038,9,5,Place is clean with friendly ladies to help you
71038,10,1,NIL
71038,10,5,NIL
71038,10,3,Great
71038,11,5,Great apartments
71038,11,5,NIL
71038,12,5,Nice apts
71038,12,5,By far the best apartments my fam has been in.
71038,12,5,NIL
71038,12,5,Love the neighborhood.
71038,12,5,Quiet
71038,12,5,NIL
71038,12,5,NIL
71038,12,5,NIL
71038,12,3,The lied
71038,12,5,NIL
71038,12,4,NIL
71038,12,1,NIL
71038,12,4,NIL
71038,12,3,NIL
71038,12,5,Great
71038,12,5,Safe
71038,12,4,NIL
71038,12,4,"I have been leaving at Chandler Creek for close to 6 months now. I really like it here. The location is great and the price for a one bedroom is very affordable given that we live in Round Rock! The staff is kind and friendly. They always have freshly brewed coffee for residents and visitors everyday. From time to time they also have cookies. Yay! The maintenance staff is one of the best. They always come to your apartment to take care of your needs whenever you need them. 

If you are thinking of living here, don't think anymore. Just move in! Chandler Creek Apartments is your future home. :-)"
71038,12,3,"sense management changed, they will nickel and dime you for every little thing, other than that it's a good first apartment.  i would recommend these apartments to anyone."
71038,12,1,"Harrasment  it's allow by employees 
Tried reporting it but they didn't  care"
71893,1,5,"I've lived here for 10 years now. My neighbor has lived here 25! Why you ask? Because these are good apartments and below market pricing. If I ever need something I get a quick response to my request. Of course I'm not someone who's trashing my place. I love the management. But then again I actually pay my rent and on time! The only reason I didn't give them 5 stars is because they don't have a fitness center! No matter where you live you only get out of it what you put into it! It's your home, your neighborhood... have a little pride!
  So here I am 3 years later, that means I've been here 13 years and if you know how picky I am then you'll understand that I'm here because so many things about this place are good! I took Monday off to give maintenance time to fix a couple of things in my apartment and let me tell you, the maintenance team here is very efficient. Rolando came in and fixed the couple of little things I needed fixed quickly and accurately. Upgrading to 5 stars cause I bought a treadmill (not that I use it much)!"
71893,4,5,Great little hidden community to live! Located in great location in north round rock Tx. Reasonable rates and spacious floor plans.
71893,6,5,Been here a few times visiting and it always looks clean and well maintained.  Prices are reasonable.
71893,6,1,"I would give no stars if I could. My a.c. went out in the summer they never fixed it, woke up to 2 big rats in my pantry. Roaches, management misplaced my rent check multiple times but after showing proof of my cashiers check they found it again. Now that I have moved out. Guess what I get a call from a collections agency and foxfire is saying i owe them money I go to the office and am told I will get a call back for more info which never happens and when I call they have no information as to why at all. Dont do it future residents. Just to move into a new place I had to pay the agency. I didn't have enough time to dispute, my buddy is a lawyer and says I should sue. DO NOT LIVE HERE. IT'S CHEAP YES, BUT PLEASE PAY THE EXTRA MONEY, AND LIVE SOMEWHERE ELSE. I AM WARNING YOU THIS PLACE IS AWFUL. THEY REPLIED TO MY REVIEW AND IT IS LIES. RUN AWAY AS FAST AS YOU CAN. PAY THE EXTRA FEW HUNDRED AND LIVE IN PEACE."
71893,6,1,NIL
71893,6,1,NIL
71893,7,1,"If I could give this place a negative -1 star, I would! You can tell by their star rating that they are a unprofessional and sketchy management and terrible complex to live! I was warned about this place before moving in but instead gave them the benefit of the doubt! Longest two years of our lives! I can’t recommend this place to ANYONE unless you’re homeless! I moved out in February and in a beautiful home now! Today I got an alert on my Experian report from a collections agency for $2,100?? I was clueless to what this was for since we gave our 60 day notice and moved out by the due date! They even gave me a good referral to my new rental company! And I let them keep my $800 deposit! I was always a good quiet tenant that kept to myself and rarely complained in the 2 years I was living there! They never once contacted me for questions or concerns and certainly not any remaining balances (which were none) I’ve already filed a dispute! And I will go to the renters board and put this place on BLAST everywhere!!! Two can play dirty!!  STAY AWAY FROM THIS PLACE!! There’s better places out there!!"
71893,8,5,Thud place is brand new they no longer have roaches or anything they have a new manager new office manager and a new pool with lots of new people ❤
71893,9,4,Awesome neighbors.... Roaches though... And I'm clean…
71893,9,1,"Dangerous. I went to pick up a washer & dryer. The young lady was moving & I asked her why. ""Because of the murders."""
71893,9,1,My cousin got Robbed there in 2009
71893,10,3,Great
71893,11,5,I want to move there
71893,11,5,"We moved into a 2 bedroom in September 2016, we were waiting for a 3 bedroom to open up. The apartments are a little old but for the price it is nice. The real reason I love living here so much is the management. Alma (The property manager) is amazing. She is the nicest apartment manager I have ever met and I have lived in over 20 apartments around the country. She listens when you have a problem, she jumps into action when you need her and she cares about the residents like they are family. The grounds are always so well kept thanks to the maintenance guys. I think the main guy is Orlando? I think that is his name, he is my favorite maintenance guys. He always explains things well and gets to fixing problems quickly. There are some tenants here that make you want to pull your hair out because they just act like they do not care about pride in their home but that is a personal issue and I am sure if they were breaking any rules the management would deal with them. We are about to move into a home we had built and we will miss this place very much!"
71893,11,1,"awful!!!! i’ve written a review before about how unsafe they are but somehow it’s been lost. three robberies in the 11 months we’ve been here and now a shooting!! not to mention a few peeping toms and someone knocking on my door for 1 1/2 straight one night while i was home alone.... left once the cops came. they’re trashy, run down, covered in bugs, paint is chipping off every wall, and the people who live under me smoke so much weed my apartment reeks 24/7. unacceptable. so many children you can’t drive through the parking lot without hitting 4... not to mention no one watching their kids. this place SUCKS."
71893,11,4,NIL
71893,12,4,NIL
71893,12,1,NIL
71893,12,3,NIL
71893,12,1,"Trashy, has rats, ppl don't care about the place"
71893,12,3,NIL
71893,12,5,NIL
71893,12,1,NIL
71893,12,1,Worse place ever!!! Not worth $1000 a month. They are ran down. I have a lot of water damage in both bathrooms. Never fixed!! They don't even fix stuff you write on a work order. Management is very rude. I've had someone try to break into my apartment. They did nothing. And ROACHES / WATER ROACHES big big problem!!! Pool is barley open in the summer. Don't waste your time or money!!!
71893,12,4,"i dont live there, but many friends do and they have nothing bad to say
its decent in price too"
71893,12,4,NIL
71893,12,3,NIL
71893,12,5,NIL
71893,12,1,The manager is so
71893,12,3,NIL
71893,12,5,NIL
72205,11,1,"Terrible! You never answer the phone, and then when I tried to call back to try to get information you get annoyed that I'm calling back. How do you know this wasn't the only weekend I had to look for apartments? And so poorly managed that you don't have to open on Sundays except for by appointment? The property manager left me a rude message on Monday because I ""called back  9  times over the weekend"", and your at ""100% to capacity Good RIddance! What kind of property doesn't answer the phone. Nice way to get business! Treat prospective residents like trash, the same way your property looks!  What a dump!  Didn't think to take pictures, because it was so dirty, who would want to! Wierd because you haven't been there long enough to look that dirty! 

Did I inconvenience you Property Manager, because you actually had to call someone back? Clean your property. I can't imagine what you're own homes look like.

Don't worry I won't call back, I won't come back, and I won't even check back on this post. 

If it was possible to post a negative number of stars, that's what you get! But I have to give you at least 1 star so that this post will show up!

Trash!"
72205,12,1,"this sounds like a terrible place to be at but at least, is the pricing good?"
72205,12,1,"Absolutely disgusting place. When we first moved in everything seemed to be alright until they started doing ""Monthly"" maintenance runs. Most times they would go in after 1 knock and didn't call out when they were in the place. Paint was literally plastered everywhere. Coax/power outlets just painted over. RATS EVERYWHERE! ROACHES EVERYWHERE! I started noticing little rat droppings after a couple of months of living there. I should have noticed something when I saw little mouse/rat holes in the stairs and in the garage. Needless to say they never went away... Oh not to mention when a pipe burst in my apartment and about 12 others, it took them 4 weeks to fix the hole in the ceiling and they still never properly fixed the issue as every time you flushed you would hear what sounded like pipes begging to burst.. Management is extremely rude and would never answer the phone. (The lady at the front was very nice). After moving out they decided to stick us with a $2200 bill. We did leave the carpet dirty but I do not believe they would need to have replaced the carpet . All I have to say is avoid moving here as they will probably want your first born after you move out."
72205,12,5,NIL
74438,1,5,I needed an apartment to move in asap Karin the lady with the short black hair who sits at the second desk helped me get that done within 5 days! She was very patient! Honestly she went above and beyond for someone she did not know. I truly appreciate her because if it wasnt for her i would've wasted time and money at other apartment complexes. I recommend if you are thinking about these apartments to go with karin!
74438,3,4,NIL
74438,3,1,NIL
74438,4,1,"*edit* In case anyone is wondering- this place is still a cesspool. Instead of fixing things, they take idiotic measures like hiring valet trash service that we are forced to pay for even if we don't want it, and partnering with local towing yards to earn kickbacks on having visitor cars towed unless they park in a far back lot. Water has been shut off on a weekly basis for months. Always the same worthless excuses, as if nothing ever really gets fixed. When the water is running, it takes an endless age to get any that is hot because of ""upgrades"" to our sinks, and in the showers, it randomly fluctuates between almost hot enough to scald and ice cold. Any actual updates or upgrades offered never happen. They put out cheap gifts in the office as if that indicates they care, while they literally rip off every single resident every month with their negligence. Honestly whomever owns this place should owe all of us money to find a new place, and then this whole complex should be condemned and torn down. *end edit*

I have never been so disgusted by any place I've lived, and I have never been rich. Sadly I still live here because of the ridiculous costs of moving, and my family would love to be able to leave but can't.

They charge every month for pest control but never do any unless you ask, and then they use the most ineffectual methods possible, treat only your apartment instead of the whole building, and it is worthless. I have been notified of inspections several times recently only to have no one show up the day they said they would, and I wish I could say I was surprised, but that negligence is prevalent in every aspect of this complex. They raise the rent significantly every renewal without adding any type of value to the apartment. The appliances are ancient, energy inefficient, and barely functional. The freezers do not even make ice. The water will destroy a filter in half its usual expected life; large chunks of white gunk I can only assume are lime can be found after every pot of coffee on that filter. The carpeting is matted, threadbare and installed over lumpy floors that have dips and bouncy spots (upstairs). The only work that has been done to this complex in years was replacing the cabinet doors, spray-coating the disgusting laminate counters, and badly installing fake wood vinyl in the entry, kitchen, and bathroom; those floors were not leveled either, and the ""new"" flooring is already falling apart.The windows and doors leak outrageously and of course, the windows are not double-paned. Your bills will skyrocket in this complex, and you will suffer in the heat of summer, even if your side of the building never actually has direct sun. 

The parking lot had 3 holes large enough to damage a car before they made any effort to fix them, and then they choose the cheapest, least effective method ensuring the holes will be back very soon. Parking in lots close to most buildings is severely limited and they do not bother to offer a designated space to residents or parking passes, so inconsiderate people have their visitors parking in the limited space. Residents will habitually park in the fire lanes, endangering all residents in their building, and the cars do not get towed.

I firmly believe that most or all of the good reviews of this complex are fake, written by their own employees or those employees' friends and family. I do not use a real name because I do not wish any backlash from this review to affect my family, but you notice only one of the good ones has a real name, and I actually agree with her that Tania was a kind woman. Tania no longer works here. If you have no other options, that is the only reason to move in here."
74438,4,1,NIL
74438,4,4,Lots of good and positive changes.
74438,5,3,NIL
74438,10,1,"Worst place to live. They only want your money, they don’t care about your wellbeing. Please please please don’t waste your money living here. I swear, if you make the same mistake I did, you’ll regret it."
74438,12,4,NIL
74438,12,4,NIL
